epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3091,1.25965,2.81968,1.51933,0.6778,0.18762,0.43517,0.22635,1.26391,3.46587,1.85834,0.000466199,0.000466199,0.000466199
2,197.869,1.29696,2.44461,1.59769,0.47209,0.47325,0.44315,0.19268,1.66283,3.21645,2.34704,0.00092387,0.00092387,0.00092387
3,289.394,1.34717,2.46325,1.67299,0.29162,0.3003,0.17114,0.0709,2.12523,5.0558,2.93272,0.00136268,0.00136268,0.00136268
4,384.553,1.50792,2.47327,1.73484,0.354,0.25753,0.25155,0.09717,2.05739,4.66714,2.77473,0.00134412,0.00134412,0.00134412
5,477.581,1.4728,2.34969,1.70088,0.58528,0.32282,0.39731,0.17537,1.84553,3.16466,2.52747,0.00131582,0.00131582,0.00131582
6,571.325,1.48148,2.3227,1.70415,0.14084,0.29029,0.17342,0.08002,1.86498,3.78504,2.48693,0.00128753,0.00128753,0.00128753
7,663.827,1.44346,2.29965,1.66257,0.12638,0.37023,0.14458,0.05751,2.11029,3.67536,2.86532,0.00125923,0.00125923,0.00125923
8,755.786,1.42116,2.21354,1.68516,0.33987,0.52258,0.41205,0.1801,1.7827,2.86326,2.39526,0.00123094,0.00123094,0.00123094
9,847.664,1.36661,2.13454,1.60405,0.37354,0.3233,0.27691,0.12998,2.03877,3.02071,2.70133,0.00120265,0.00120265,0.00120265
10,940.086,1.38383,1.9814,1.61058,0.56771,0.43285,0.405,0.19188,1.80291,2.69623,2.41454,0.00117435,0.00117435,0.00117435
11,1032.36,1.3715,1.9693,1.61875,0.37566,0.40495,0.33501,0.16989,1.82383,2.80989,2.38769,0.00114606,0.00114606,0.00114606
