epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2057,1.70852,2.74656,1.89607,0.00274,0.74236,0.08304,0.02985,2.4924,3.61381,3.43019,0.000326241,0.000326241,0.0677021
2,155.771,1.62264,2.4218,1.8022,0.2152,0.42876,0.24386,0.07954,1.98789,2.69437,2.58904,0.000646515,0.000646515,0.0346891
3,246.378,1.64537,2.33203,1.86075,0.31917,0.28555,0.21775,0.07366,2.07146,3.89212,2.79868,0.000953589,0.000953589,0.00166281
4,337.733,1.59443,2.27527,1.82247,0.27573,0.42917,0.24779,0.08875,2.14497,2.86774,2.78064,0.0009406,0.0009406,0.0009406
5,424.088,1.57624,2.24117,1.85171,0.50697,0.2618,0.35305,0.13166,1.84131,3.04093,2.40929,0.0009208,0.0009208,0.0009208
6,496.127,1.59148,2.22618,1.84956,0.19305,0.4504,0.22029,0.09563,1.90362,2.96352,2.43149,0.000901,0.000901,0.000901
7,568.371,1.56688,2.16155,1.80649,0.29264,0.43735,0.30514,0.14064,1.84435,2.68415,2.35659,0.0008812,0.0008812,0.0008812
8,640.709,1.59854,2.11936,1.80853,0.48568,0.41944,0.40257,0.18491,1.85608,2.09629,2.31563,0.0008614,0.0008614,0.0008614
9,733.23,1.58415,2.11808,1.82357,0.82748,0.21507,0.31322,0.13737,1.84164,2.43052,2.3693,0.0008416,0.0008416,0.0008416
10,823.855,1.4923,2.01454,1.77355,0.34693,0.46633,0.34727,0.16369,1.77666,2.4511,2.31863,0.0008218,0.0008218,0.0008218
11,918.96,1.48258,1.98181,1.78738,0.41604,0.4179,0.40513,0.1813,1.86405,2.33622,2.47161,0.000802,0.000802,0.000802
12,1015.33,1.50993,2.01517,1.75013,0.47166,0.42761,0.45534,0.19356,1.88249,2.77009,2.44091,0.0007822,0.0007822,0.0007822
13,1111.77,1.52727,2.04004,1.79623,0.48491,0.38595,0.43709,0.19882,1.78675,2.119,2.24099,0.0007624,0.0007624,0.0007624
14,1206.38,1.50745,1.95596,1.76534,0.60153,0.39582,0.42945,0.21244,1.75929,2.20582,2.25072,0.0007426,0.0007426,0.0007426
15,1300.33,1.452,1.84604,1.73425,0.45223,0.37071,0.4378,0.2123,1.80456,2.18177,2.37157,0.0007228,0.0007228,0.0007228
16,1392.45,1.46298,1.87786,1.72851,0.49301,0.43514,0.44999,0.21648,1.6873,1.95489,2.14529,0.000703,0.000703,0.000703
17,1480.29,1.44779,1.85241,1.72524,0.52396,0.50679,0.49826,0.2112,1.86871,2.03147,2.38242,0.0006832,0.0006832,0.0006832
18,1568.53,1.4418,1.8379,1.72947,0.64678,0.48711,0.42879,0.20909,1.8141,2.08255,2.2961,0.0006634,0.0006634,0.0006634
19,1656.2,1.42193,1.78273,1.69637,0.40335,0.54477,0.47397,0.24892,1.66326,2.00633,2.13717,0.0006436,0.0006436,0.0006436
